cycles,cell,ah
0,1,2.543
150,1,2.497
300,1,2.466
450,1,2.453
600,1,2.428
750,1,2.4
900,1,2.377
1050,1,2.358
1200,1,2.337
1350,1,2.295
1500,1,2.273
1600,1,2.263
1700,1,2.259
1800,1,2.253
1900,1,2.229
2000,1,2.213
2100,1,2.204
2300,1,2.158
2400,1,2.141
2500,1,2.109
2600,1,2.109
2700,1,2.09
2800,1,2.074
2900,1,2.043
3000,1,2.009
3400,1,2
3500,1,1.981
3600,1,1.958
3700,1,1.932
3800,1,1.919
3900,1,1.889
4000,1,1.871
4100,1,1.849
4200,1,1.822
4300,1,1.783
4400,1,1.75
4500,1,1.707
4600,1,1.669
4700,1,1.617
4800,1,1.573
4900,1,1.529
5000,1,1.485
0,2,2.532
150,2,2.495
300,2,2.467
450,2,2.452
600,2,2.424
750,2,2.4
900,2,2.378
1050,2,2.355
1200,2,2.34
1350,2,2.302
1500,2,2.27
1600,2,2.271
1700,2,2.268
1800,2,2.264
1900,2,2.242
2000,2,2.225
2100,2,2.221
2300,2,2.186
2400,2,2.174
2500,2,2.149
2600,2,2.16
2700,2,2.164
2800,2,2.126
2900,2,2.088
3000,2,2.062
3400,2,1.996
3500,2,1.982
3600,2,1.961
3700,2,1.931
3800,2,1.916
3900,2,1.884
4000,2,1.866
4100,2,1.833
4200,2,1.795
4300,2,1.75
4400,2,1.704
4500,2,1.645
4600,2,1.597
4700,2,1.537
4800,2,1.487
4900,2,1.441
5000,2,1.393
0,3,2.525
150,3,2.487
300,3,2.463
450,3,2.447
600,3,2.412
750,3,2.393
900,3,2.369
1050,3,2.348
1200,3,2.328
1350,3,2.285
1500,3,2.256
1600,3,2.248
1700,3,2.246
1800,3,2.239
1900,3,2.217
2000,3,2.197
2100,3,2.196
2300,3,2.156
2400,3,2.14
2500,3,2.113
2600,3,2.119
2700,3,2.108
2800,3,2.09
2900,3,2.054
3000,3,2.027
3400,3,1.982
3500,3,1.973
3600,3,1.96
3700,3,1.938
3800,3,1.926
3900,3,1.902
4000,3,1.886
4100,3,1.868
4200,3,1.845
4300,3,1.815
4400,3,1.788
4500,3,1.752
4600,3,1.726
4700,3,1.679
4800,3,1.639
4900,3,1.606
5000,3,1.571
0,4,2.496
150,4,2.466
300,4,2.438
450,4,2.435
600,4,2.399
750,4,2.376
900,4,2.351
1050,4,2.328
1200,4,2.308
1350,4,2.27
1500,4,2.238
1600,4,2.231
1700,4,2.229
1800,4,2.223
1900,4,2.199
2000,4,2.18
2100,4,2.176
2300,4,2.136
2400,4,2.117
2500,4,2.092
2600,4,2.097
2700,4,2.084
2800,4,2.066
2900,4,2.04
3000,4,2.009
3400,4,1.955
3500,4,1.949
3600,4,1.932
3700,4,1.909
3800,4,1.902
3900,4,1.88
4000,4,1.866
4100,4,1.849
4200,4,1.824
4300,4,1.793
4400,4,1.764
4500,4,1.728
4600,4,1.701
4700,4,1.654
4800,4,1.612
4900,4,1.584
5000,4,1.545
